name
"Avatar,Independence Day,Aliens vs Predator: Requiem,Predator,The Watch,Predators,Eragon,Dragonball Evolution,Independence Day: Resurgence,Fantastic Four,Rise of the Planet of the Apes,AVP: Alien vs. Predator,Gulliver's Travels,X-Men: First Class,Night at the Museum,Devil's Due,Prometheus,Meet Dave,Gentleman's Agreement,Victor Frankenstein,Death Sentence,Titan A.E.,Night at the Museum: Battle of the Smithsonian,X-Men Origins: Wolverine,The Heat"
"Pirates of the Caribbean: At World's End,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: On Stranger Tides,Captain Phillips,The Core,20,000 Leagues Under the Sea,The Pirates! In an Adventure with Scientists!,VeggieTales: The Pirates Who Don't Do Anything,G-Force,Waterworld,Cutthroat Island,Fantasia,The Adventures of Huck Finn,The Adventures of Tintin,The Scorpion King,The Life Aquatic with Steve Zissou,Shipwrecked,The Imaginarium of Doctor Parnassus,Tuck Everlasting,The Black Hole,The Lizzie McGuire Movie,Charlie and the Chocolate Factory,Life of Pi,Around the World in 80 Days"
"Spectre,Quantum of Solace,Never Say Never Again,Skyfall,From Russia with Love,Die Another Day,Action Jackson,On Her Majesty's Secret Service,Licence to Kill,Octopussy,Thunderball,Diamonds Are Forever,G.I. Joe: Retaliation,Dr. No,GoldenEye,Safe Haven,The Living Daylights,Harriet the Spy,Terminator Genisys,Force 10 from Navarone,I Spy,Diary of a Wimpy Kid: Rodrick Rules,Small Soldiers,Sherlock Holmes: A Game of Shadows,Casino Royale"
"John Carter,Inspector Gadget,Battleship,The Other Side of Heaven,Riddick,I Am Number Four,The Adventures of Elmo in Grouchland,Lawrence of Arabia,The Hitchhiker's Guide to the Galaxy,The Legend of Hercules,Stripes,King's Ransom,Crimson Tide,All Is Lost,First Blood,Star Trek: Insurrection,After Earth,Star Trek IV: The Voyage Home,Stealing Harvard,World War Z,Treasure Planet,A Beautiful Mind,American Sniper,E.T. the Extra-Terrestrial,Forsaken"
"Spider-Man 3,Spider-Man 2,The Amazing Spider-Man 2,Spider-Man,I Love You, Man,Iron Man 2,Ant-Man,The Amazing Spider-Man,The Man,In the Name of the King: A Dungeon Siege Tale,A Man for All Seasons,Big Fish,Reign Over Me,Superman Returns,Alien Zone,All Is Lost,Unbreakable,Kites,Superman III,The Elephant Man,Phantasm II,The Lawnmower Man,A Serious Man,Nothing But a Man,Dead Man Down"
"Tangled,The Princess and the Frog,Return to Never Land,Winnie the Pooh,Fantasia,Toy Story 3,Teacher's Pet,Atlantis: The Lost Empire,The Jungle Book 2,Dinosaur,Pocahontas,Frozen,A Bug's Life,Mulan,Lilo & Stitch,Home on the Range,Meet the Deedles,Big Hero 6,Fantasia 2000,Bolt,Aladdin,Chicken Little,The Lion King,Monsters University,Treasure Planet"
"Avengers: Age of Ultron,Iron Man,Thor,Iron Man 2,Captain America: Civil War,The Avengers,Guardians of the Galaxy,Ant-Man,Iron Man 3,Transformers: Revenge of the Fallen,TRON: Legacy,Transformers: Age of Extinction,Thor: The Dark World,The Incredibles,The Incredible Hulk,The Wolverine,Captain America: The First Avenger,Superman,Planet 51,MacGruber,Superman III,Captain America: The Winter Soldier,X-Men: Days of Future Past,Superman Returns,The Helix... Loaded"
"Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Prisoner of Azkaban,The Ant Bully,Batman,Batman,The NeverEnding Story,The Call of Cthulhu,Stardust,Hellraiser,There Will Be Blood,BloodRayne,Submarine,The Secret of Kells,Pan,Legend of the Guardians: The Owls of Ga'Hoole,The Greatest Game Ever Played,Superman Returns,Cinderella,Rotor DR1,Star Wars: Episode II - Attack of the Clones,Practical Magic"
"Batman v Superman: Dawn of Justice,Suicide Squad,The Spirit,Steel,Man of Steel,The Twilight Saga: Eclipse,Fantastic Four,The Twilight Saga: New Moon,Batman Begins,Max Payne,The Scorpion King,300: Rise of an Empire,Dawn of the Dead,The Wolverine,Percy Jackson & the Olympians: The Lightning Thief,Teenage Mutant Ninja Turtles: Out of the Shadows,Batman,Batman,Flyboys,X-Men: First Class,Thor,Foodfight!,The Toxic Avenger,Do You Believe?,Superman"
"Superman Returns,Harry Potter and the Order of the Phoenix,Iron Man 2,The Wolverine,Superman III,Superman,Man of Steel,Total Recall,Riddick,After Earth,Harry Potter and the Chamber of Secrets,All Is Lost,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Apocalypto,American Sniper,The Incredible Hulk,The Ant Bully,The Amazing Spider-Man,Spider-Man 3,Dark Shadows,X2,Spawn,The Judge,Spider-Man 2"
